,nivel_senioridade,horas_trab_dias,nivel_fadiga_mental,taxa_burnout,dias_empresa,ambi_dome_favoravel_No,ambi_dome_favoravel_Yes,genero_Female,genero_Male,tipo_empresa_Product,tipo_empresa_Service
3439,2.0,4.0,5.5,0.37,5525,0,1,0,1,0,1
3440,1.0,4.0,5.6,0.53,5514,1,0,0,1,1,0
3441,2.0,3.0,4.0,0.34,5434,0,1,1,0,1,0
3442,2.0,5.0,8.1,0.65,5440,0,1,1,0,0,1
3443,1.0,1.0,2.5,0.16,5612,1,0,0,1,1,0
3444,2.0,4.0,4.4,0.21,5483,0,1,0,1,0,1
3445,2.0,5.0,7.5,0.65,5611,1,0,0,1,0,1
3446,3.0,6.0,8.1,0.69,5557,1,0,0,1,1,0
3447,3.0,5.0,5.2,0.38,5369,0,1,1,0,0,1
3449,3.0,6.0,7.2,0.61,5434,1,0,0,1,0,1
3450,3.0,7.0,7.1,0.56,5288,1,0,0,1,1,0
3451,3.0,6.0,4.1,0.36,5444,0,1,1,0,0,1
3452,1.0,2.0,4.0,0.21,5302,0,1,0,1,1,0
3453,4.0,9.0,7.8,0.72,5492,1,0,0,1,0,1
3454,1.0,3.0,5.2,0.38,5488,1,0,1,0,0,1
3455,4.0,7.0,5.9,0.52,5463,0,1,0,1,1,0
3456,4.0,6.0,8.1,0.66,5333,1,0,1,0,1,0
3457,2.0,4.0,5.6,0.37,5311,1,0,1,0,0,1
3458,2.0,5.0,5.9,0.54,5576,0,1,0,1,1,0
3459,2.0,4.0,5.2,0.43,5530,1,0,0,1,1,0
3460,1.0,1.0,1.0,0.04,5545,0,1,1,0,0,1
3461,3.0,4.0,6.5,0.48,5535,0,1,1,0,1,0
3462,2.0,4.0,5.0,0.36,5428,0,1,1,0,1,0
3463,3.0,7.0,5.9,0.88,5473,1,0,0,1,1,0
3464,1.0,4.0,7.6,0.57,5596,1,0,0,1,0,1
3465,2.0,5.0,6.4,0.59,5257,1,0,1,0,0,1
3466,2.0,4.0,6.2,0.49,5540,0,1,1,0,1,0
3467,4.0,7.0,9.6,0.85,5269,1,0,0,1,0,1
3468,3.0,5.0,7.5,0.67,5431,1,0,1,0,0,1
3469,0.0,1.0,4.0,0.25,5530,0,1,1,0,1,0
3470,3.0,6.0,6.9,0.57,5556,1,0,1,0,0,1
3471,3.0,6.0,8.0,0.67,5434,1,0,1,0,0,1
3472,1.0,3.0,5.3,0.37,5544,0,1,1,0,0,1
3473,1.0,2.0,1.5,0.06,5591,0,1,0,1,0,1
3474,1.0,2.0,4.7,0.23,5424,1,0,1,0,1,0
3475,0.0,1.0,0.6,0.05,5267,1,0,0,1,1,0
3476,2.0,4.0,4.0,0.33,5316,0,1,1,0,0,1
3477,2.0,6.0,6.9,0.55,5253,1,0,0,1,1,0
3478,3.0,7.0,6.5,0.57,5567,0,1,1,0,0,1
3479,3.0,6.0,7.9,0.69,5282,1,0,1,0,0,1
3480,2.0,4.0,4.4,0.3,5516,1,0,1,0,0,1
3481,3.0,6.0,5.9,0.52,5276,0,1,0,1,0,1
3482,2.0,4.0,4.7,0.26,5399,1,0,0,1,0,1
3483,2.0,5.0,4.4,0.31,5555,0,1,0,1,0,1
3484,1.0,3.0,5.9,0.35,5430,1,0,1,0,1,0
3485,3.0,7.0,10.0,0.89,5497,0,1,0,1,0,1
3486,2.0,4.0,7.6,0.59,5333,1,0,1,0,0,1
3487,3.0,5.0,5.1,0.43,5494,0,1,0,1,0,1
3488,1.0,3.0,5.9,0.21,5399,1,0,1,0,1,0
3489,2.0,3.0,4.8,0.44,5418,0,1,0,1,1,0
3490,4.0,7.0,9.0,0.78,5524,0,1,0,1,0,1
3491,2.0,5.0,7.1,0.54,5411,0,1,1,0,0,1
3492,1.0,3.0,6.2,0.45,5603,0,1,1,0,0,1
3493,1.0,2.0,4.9,0.32,5276,0,1,0,1,0,1
3494,2.0,3.0,3.4,0.23,5299,0,1,1,0,1,0
3495,1.0,3.0,3.7,0.23,5324,0,1,0,1,1,0
3496,1.0,3.0,5.2,0.32,5564,0,1,1,0,1,0
3497,2.0,3.0,4.4,0.39,5366,0,1,0,1,1,0
3498,1.0,3.0,4.3,0.32,5268,0,1,1,0,0,1
3499,2.0,4.0,4.1,0.34,5252,1,0,1,0,0,1
3500,3.0,5.0,5.9,0.61,5264,0,1,0,1,1,0
3501,3.0,6.0,6.9,0.59,5317,1,0,1,0,0,1
3502,3.0,7.0,7.4,0.72,5385,1,0,0,1,0,1
3503,2.0,4.0,5.1,0.37,5582,1,0,1,0,0,1
3504,1.0,4.0,4.2,0.37,5279,1,0,0,1,0,1
3505,3.0,6.0,7.9,0.82,5493,1,0,1,0,0,1
3506,0.0,4.0,2.3,0.1,5301,0,1,0,1,0,1
3507,3.0,7.0,5.9,0.58,5582,0,1,1,0,0,1
3508,2.0,4.0,3.1,0.25,5388,0,1,1,0,0,1
3509,2.0,6.0,6.6,0.63,5580,1,0,1,0,0,1
3510,2.0,3.0,4.0,0.32,5492,0,1,0,1,0,1
3511,2.0,5.0,7.3,0.55,5573,0,1,1,0,0,1
3512,1.0,1.0,1.7,0.08,5349,0,1,0,1,0,1
3513,4.0,7.0,7.0,0.62,5568,0,1,1,0,1,0
3514,2.0,5.0,4.2,0.31,5275,0,1,1,0,0,1
3515,4.0,8.0,7.8,0.74,5365,1,0,0,1,0,1
3516,1.0,2.0,2.7,0.11,5259,1,0,0,1,0,1
3517,3.0,6.0,7.9,0.79,5547,1,0,0,1,0,1
3518,4.0,7.0,5.7,0.52,5275,1,0,0,1,0,1
3519,1.0,2.0,5.9,0.24,5467,0,1,1,0,1,0
3520,2.0,5.0,7.8,0.59,5317,1,0,0,1,1,0
3521,1.0,3.0,5.0,0.34,5578,0,1,1,0,0,1
3522,2.0,4.0,7.4,0.63,5589,1,0,0,1,0,1
3523,4.0,9.0,8.4,0.81,5521,1,0,0,1,1,0
3524,2.0,5.0,5.6,0.42,5579,0,1,1,0,1,0
3525,0.0,1.0,3.0,0.2,5453,1,0,1,0,0,1
3526,3.0,7.0,6.3,0.58,5411,0,1,0,1,1,0
3527,2.0,5.0,6.9,0.6,5492,1,0,0,1,1,0
3528,2.0,4.0,5.9,0.64,5585,0,1,1,0,0,1
3529,1.0,3.0,6.5,0.42,5286,0,1,0,1,0,1
3530,1.0,4.0,4.8,0.3,5346,0,1,1,0,0,1
3531,2.0,3.0,4.7,0.35,5392,0,1,1,0,0,1
3532,1.0,1.0,3.2,0.26,5357,0,1,1,0,0,1
3533,1.0,3.0,6.1,0.39,5391,1,0,1,0,0,1
3534,2.0,4.0,6.2,0.38,5484,0,1,0,1,0,1
3535,3.0,6.0,5.8,0.36,5609,0,1,1,0,0,1
3536,4.0,8.0,9.5,0.85,5606,1,0,0,1,0,1
3537,0.0,1.0,2.8,0.19,5432,0,1,1,0,0,1
3538,2.0,3.0,5.6,0.47,5496,1,0,0,1,0,1
3540,1.0,3.0,4.2,0.35,5609,1,0,1,0,0,1
3541,4.0,9.0,8.9,0.78,5582,1,0,1,0,0,1
3542,1.0,1.0,0.0,0.0,5552,1,0,0,1,0,1
3543,2.0,4.0,6.2,0.38,5425,0,1,1,0,0,1
3544,2.0,4.0,3.8,0.23,5431,1,0,1,0,0,1
3546,2.0,4.0,5.7,0.37,5461,0,1,1,0,1,0
3547,1.0,4.0,5.6,0.35,5297,0,1,1,0,0,1
3549,3.0,5.0,5.9,0.48,5584,0,1,1,0,0,1
3550,2.0,4.0,7.4,0.58,5254,1,0,1,0,1,0
3551,3.0,5.0,5.9,0.45,5385,0,1,1,0,1,0
3552,1.0,4.0,6.2,0.55,5329,0,1,0,1,1,0
3553,4.0,4.0,9.0,0.91,5386,1,0,0,1,0,1
3554,3.0,6.0,7.2,0.62,5487,1,0,0,1,1,0
3555,4.0,6.0,7.3,0.69,5443,1,0,1,0,1,0
3556,2.0,4.0,4.6,0.27,5345,0,1,1,0,0,1
3557,1.0,3.0,3.1,0.25,5526,0,1,1,0,0,1
3558,2.0,4.0,4.9,0.33,5258,1,0,1,0,0,1
3559,3.0,6.0,4.8,0.44,5502,0,1,1,0,0,1
3560,3.0,5.0,4.5,0.41,5590,1,0,0,1,1,0
3561,3.0,6.0,6.4,0.61,5250,1,0,0,1,0,1
3562,2.0,4.0,4.0,0.35,5416,0,1,1,0,1,0
3563,2.0,4.0,4.4,0.28,5332,1,0,1,0,0,1
3564,2.0,4.0,5.9,0.44,5499,0,1,1,0,0,1
3565,3.0,8.0,9.4,1.0,5377,1,0,1,0,0,1
3566,3.0,7.0,8.2,0.74,5614,1,0,0,1,0,1
3568,0.0,1.0,2.6,0.08,5286,0,1,1,0,1,0
3569,2.0,5.0,6.3,0.53,5558,0,1,0,1,0,1
3570,0.0,2.0,4.8,0.26,5249,0,1,1,0,0,1
3571,2.0,4.0,4.8,0.29,5591,0,1,1,0,0,1
3572,5.0,9.0,9.6,0.82,5274,1,0,0,1,1,0
3573,3.0,6.0,6.4,0.61,5462,1,0,0,1,1,0
3574,2.0,4.0,4.9,0.45,5390,0,1,1,0,1,0
3575,3.0,4.0,5.4,0.37,5431,0,1,1,0,1,0
3576,1.0,2.0,4.1,0.36,5596,0,1,1,0,0,1
3577,1.0,3.0,5.2,0.31,5543,1,0,0,1,0,1
3578,2.0,4.0,5.6,0.48,5577,0,1,1,0,0,1
3579,5.0,10.0,9.6,1.0,5308,0,1,1,0,1,0
3580,4.0,7.0,9.0,0.86,5281,1,0,0,1,1,0
3581,0.0,1.0,2.1,0.14,5250,0,1,0,1,1,0
3582,3.0,6.0,8.3,0.67,5548,1,0,0,1,1,0
3583,2.0,5.0,7.0,0.52,5530,1,0,0,1,0,1
3584,2.0,4.0,5.9,0.38,5401,1,0,0,1,0,1
3585,2.0,5.0,4.0,0.32,5521,0,1,1,0,1,0
3586,3.0,6.0,4.9,0.41,5356,1,0,1,0,0,1
3587,4.0,7.0,8.8,0.74,5389,0,1,1,0,1,0
3588,3.0,4.0,4.7,0.31,5494,0,1,1,0,0,1
3589,1.0,2.0,3.3,0.23,5521,1,0,1,0,1,0
3590,2.0,6.0,8.4,0.7,5441,0,1,0,1,1,0
3591,1.0,4.0,5.9,0.31,5485,1,0,1,0,0,1
3592,4.0,7.0,5.6,0.53,5376,1,0,0,1,1,0
3593,1.0,2.0,5.8,0.35,5601,0,1,0,1,0,1
3594,2.0,6.0,8.5,0.71,5545,1,0,1,0,1,0
3595,1.0,3.0,4.1,0.35,5276,0,1,0,1,0,1
3596,2.0,5.0,5.8,0.54,5329,1,0,1,0,0,1
3597,2.0,4.0,6.7,0.46,5479,0,1,0,1,0,1
3598,4.0,7.0,7.6,0.6,5589,1,0,0,1,0,1
3599,3.0,6.0,8.4,0.73,5323,1,0,0,1,0,1
3600,2.0,4.0,5.7,0.4,5605,0,1,1,0,1,0
3601,2.0,4.0,3.7,0.26,5298,0,1,0,1,0,1
3602,1.0,2.0,3.4,0.14,5484,0,1,0,1,1,0
3603,2.0,4.0,4.2,0.33,5530,1,0,0,1,0,1
3604,3.0,7.0,9.3,0.87,5451,0,1,0,1,1,0
3605,2.0,5.0,7.0,0.55,5547,1,0,0,1,0,1
3606,2.0,5.0,6.9,0.58,5332,1,0,0,1,1,0
3607,2.0,5.0,5.9,0.52,5391,1,0,0,1,0,1
3608,1.0,3.0,6.2,0.5,5535,0,1,1,0,0,1
3609,3.0,5.0,6.4,0.44,5611,0,1,0,1,1,0
3610,1.0,2.0,3.6,0.31,5576,1,0,0,1,1,0
3611,2.0,3.0,4.8,0.26,5522,0,1,1,0,0,1
3612,2.0,3.0,4.7,0.23,5250,0,1,1,0,0,1
3613,2.0,3.0,5.8,0.48,5417,1,0,1,0,1,0
3614,1.0,3.0,4.5,0.4,5488,0,1,1,0,0,1
3615,1.0,3.0,2.0,0.14,5311,0,1,0,1,1,0
3616,3.0,6.0,6.3,0.57,5349,0,1,0,1,1,0
3617,3.0,7.0,8.8,0.75,5565,0,1,1,0,0,1
3618,2.0,4.0,5.9,0.35,5494,0,1,0,1,1,0
3619,3.0,4.0,4.3,0.33,5359,1,0,1,0,0,1
3620,3.0,6.0,6.8,0.62,5609,1,0,1,0,0,1
3621,2.0,4.0,5.9,0.33,5424,1,0,1,0,0,1
3622,3.0,5.0,5.9,0.4,5494,1,0,0,1,0,1
3623,1.0,4.0,6.2,0.45,5480,0,1,0,1,0,1
3624,2.0,4.0,4.1,0.26,5568,1,0,1,0,0,1
3625,2.0,5.0,7.4,0.69,5378,0,1,1,0,0,1
3626,4.0,7.0,6.6,0.63,5359,1,0,0,1,0,1
3627,2.0,6.0,7.4,0.53,5376,1,0,1,0,0,1
3628,3.0,5.0,6.4,0.61,5395,1,0,0,1,0,1
3629,2.0,4.0,5.3,0.5,5284,0,1,1,0,0,1
3630,2.0,4.0,5.7,0.43,5526,0,1,1,0,0,1
3631,3.0,6.0,7.7,0.65,5270,1,0,0,1,1,0
3632,2.0,5.0,5.6,0.45,5419,1,0,1,0,0,1
3633,2.0,5.0,8.4,0.66,5523,1,0,0,1,0,1
3634,4.0,6.0,6.5,0.5,5436,0,1,0,1,0,1
3635,3.0,6.0,5.9,0.82,5542,1,0,0,1,1,0
3636,4.0,7.0,8.1,0.66,5252,1,0,0,1,1,0
3637,4.0,8.0,6.1,0.58,5401,1,0,1,0,1,0
3638,1.0,3.0,2.4,0.18,5437,1,0,0,1,0,1
3639,3.0,7.0,5.5,0.52,5606,1,0,0,1,1,0
3640,3.0,7.0,6.3,0.52,5465,1,0,1,0,1,0
3641,3.0,4.0,5.9,0.66,5585,1,0,0,1,1,0
3642,2.0,3.0,4.9,0.43,5455,0,1,0,1,1,0
3643,1.0,2.0,2.0,0.15,5260,0,1,1,0,0,1
3644,2.0,6.0,7.5,0.73,5303,1,0,0,1,0,1
3645,1.0,3.0,2.4,0.17,5289,0,1,1,0,0,1
3646,1.0,3.0,4.2,0.3,5416,0,1,0,1,1,0
3647,2.0,5.0,6.5,0.48,5518,0,1,1,0,0,1
3648,4.0,7.0,8.2,0.67,5469,0,1,0,1,1,0
3649,1.0,3.0,6.0,0.45,5566,1,0,1,0,1,0
3650,4.0,8.0,6.6,0.56,5430,1,0,0,1,0,1
3651,2.0,3.0,7.1,0.48,5539,0,1,1,0,0,1
3653,3.0,5.0,4.6,0.4,5370,0,1,0,1,0,1
3654,1.0,2.0,4.7,0.36,5325,0,1,0,1,0,1
3655,3.0,6.0,6.5,0.55,5425,0,1,1,0,0,1
3656,2.0,4.0,3.5,0.28,5467,1,0,1,0,0,1
3657,3.0,5.0,8.0,0.6,5527,0,1,0,1,0,1
3658,3.0,6.0,7.3,0.58,5601,1,0,0,1,1,0
3659,2.0,5.0,7.1,0.53,5320,0,1,0,1,0,1
3660,0.0,1.0,0.7,0.07,5593,1,0,0,1,0,1
3661,3.0,6.0,7.8,0.8,5329,1,0,0,1,0,1
3662,3.0,6.0,5.2,0.44,5437,0,1,1,0,0,1
3663,2.0,5.0,7.4,0.56,5515,1,0,0,1,0,1
3664,1.0,2.0,2.9,0.23,5351,0,1,1,0,0,1
3665,2.0,5.0,5.5,0.41,5477,1,0,0,1,0,1
3666,3.0,4.0,5.1,0.44,5278,1,0,1,0,1,0
3667,2.0,4.0,4.9,0.29,5313,0,1,1,0,0,1
3668,2.0,5.0,5.9,0.63,5442,0,1,0,1,0,1
3669,3.0,4.0,6.5,0.47,5268,1,0,0,1,1,0
3670,1.0,3.0,6.3,0.44,5428,1,0,1,0,0,1
3671,0.0,1.0,0.3,0.01,5537,0,1,1,0,1,0
3672,3.0,6.0,8.5,0.82,5589,1,0,0,1,0,1
3673,3.0,7.0,6.9,0.53,5389,0,1,0,1,0,1
3674,0.0,2.0,3.8,0.17,5431,0,1,0,1,1,0
3675,4.0,6.0,7.8,0.59,5373,0,1,1,0,0,1
3676,2.0,3.0,5.0,0.26,5458,0,1,1,0,0,1
3677,4.0,7.0,6.9,0.57,5508,1,0,0,1,0,1
3678,1.0,4.0,5.7,0.47,5515,1,0,1,0,0,1
3679,3.0,7.0,6.2,0.55,5590,0,1,1,0,0,1
3680,1.0,3.0,3.7,0.28,5376,1,0,1,0,0,1
3681,1.0,3.0,6.5,0.5,5407,0,1,1,0,1,0
3682,1.0,2.0,4.1,0.18,5531,0,1,1,0,1,0
3683,1.0,2.0,5.9,0.48,5358,0,1,1,0,1,0
3684,4.0,8.0,6.2,0.6,5578,1,0,0,1,1,0
3685,2.0,3.0,5.9,0.39,5586,0,1,1,0,1,0
3686,3.0,4.0,6.4,0.46,5334,1,0,1,0,1,0
3687,2.0,5.0,5.4,0.31,5404,0,1,0,1,0,1
3688,4.0,8.0,5.9,0.82,5415,1,0,0,1,1,0
3689,2.0,3.0,3.4,0.24,5560,0,1,1,0,0,1
3690,1.0,3.0,4.9,0.28,5521,0,1,1,0,1,0
3691,2.0,4.0,5.9,0.42,5525,0,1,0,1,0,1
3692,0.0,4.0,4.3,0.27,5399,0,1,1,0,1,0
3693,0.0,1.0,2.6,0.1,5370,0,1,1,0,1,0
3694,3.0,4.0,6.4,0.44,5518,0,1,1,0,0,1
3695,3.0,6.0,5.9,0.5,5496,0,1,0,1,0,1
3696,2.0,5.0,7.4,0.6,5595,1,0,1,0,0,1
3697,1.0,2.0,4.6,0.32,5289,0,1,1,0,1,0
3698,3.0,4.0,7.5,0.53,5592,1,0,0,1,1,0
3699,2.0,4.0,6.6,0.43,5465,1,0,1,0,0,1
3700,2.0,4.0,4.1,0.23,5541,0,1,0,1,1,0
3701,3.0,5.0,6.8,0.63,5522,1,0,0,1,1,0
3702,3.0,4.0,7.1,0.49,5460,1,0,1,0,0,1
3703,3.0,5.0,5.8,0.41,5588,0,1,1,0,0,1
3704,1.0,3.0,7.0,0.47,5299,0,1,0,1,0,1
3705,1.0,2.0,3.8,0.25,5299,0,1,1,0,1,0
3706,1.0,3.0,3.8,0.33,5585,1,0,0,1,1,0
3707,1.0,1.0,0.5,0.0,5584,0,1,0,1,0,1
3708,3.0,5.0,6.0,0.56,5494,0,1,0,1,0,1
3709,3.0,5.0,5.5,0.5,5575,0,1,1,0,1,0
3710,5.0,10.0,8.2,0.78,5612,1,0,0,1,0,1
3711,1.0,2.0,4.2,0.28,5569,0,1,0,1,0,1
3712,4.0,9.0,9.9,0.87,5591,1,0,1,0,1,0
3713,1.0,2.0,5.1,0.33,5280,1,0,0,1,0,1
3714,2.0,4.0,3.9,0.19,5555,0,1,1,0,0,1
3715,4.0,6.0,5.9,0.58,5473,1,0,0,1,1,0
3716,2.0,6.0,7.9,0.81,5508,1,0,0,1,1,0
3717,2.0,6.0,6.3,0.54,5409,1,0,0,1,1,0
3718,2.0,7.0,8.8,0.7,5391,1,0,0,1,0,1
3719,2.0,4.0,6.4,0.42,5522,1,0,1,0,1,0
3720,1.0,3.0,5.3,0.4,5499,0,1,1,0,0,1
3721,2.0,4.0,3.6,0.15,5550,0,1,1,0,0,1
3722,2.0,5.0,5.9,0.61,5483,0,1,0,1,0,1
3723,3.0,5.0,5.1,0.35,5376,0,1,1,0,1,0
3724,3.0,7.0,9.3,0.77,5430,0,1,0,1,0,1
3725,3.0,4.0,4.3,0.24,5604,0,1,1,0,0,1
3726,2.0,4.0,3.5,0.28,5254,1,0,0,1,0,1
3727,2.0,4.0,4.3,0.22,5541,0,1,0,1,0,1
3728,2.0,5.0,7.1,0.52,5303,1,0,0,1,0,1
3729,4.0,4.0,7.4,0.54,5387,1,0,1,0,0,1
3730,2.0,6.0,8.0,0.73,5297,1,0,0,1,1,0
3731,4.0,7.0,5.9,0.6,5587,1,0,0,1,1,0
3732,2.0,4.0,6.2,0.38,5307,0,1,0,1,0,1
3733,2.0,4.0,4.3,0.38,5421,0,1,0,1,0,1
3734,2.0,5.0,3.7,0.3,5490,1,0,1,0,0,1
3735,3.0,7.0,7.6,0.6,5368,1,0,1,0,1,0
3736,3.0,4.0,6.7,0.57,5508,1,0,0,1,1,0
3737,1.0,3.0,6.4,0.44,5467,0,1,0,1,1,0
3738,3.0,5.0,5.6,0.45,5331,0,1,1,0,0,1
3739,3.0,7.0,6.4,0.54,5484,1,0,1,0,0,1
3740,1.0,2.0,1.9,0.07,5503,0,1,1,0,0,1
3741,3.0,4.0,4.9,0.45,5428,1,0,1,0,0,1
3742,2.0,6.0,8.1,0.6,5473,0,1,0,1,0,1
3743,1.0,1.0,2.5,0.07,5547,0,1,1,0,1,0
3744,2.0,5.0,5.5,0.36,5412,0,1,0,1,0,1
3745,2.0,6.0,7.2,0.55,5531,1,0,0,1,0,1
3746,2.0,4.0,5.1,0.45,5400,1,0,1,0,1,0
3747,5.0,10.0,9.4,0.8,5455,0,1,1,0,1,0
3748,1.0,3.0,6.0,0.39,5411,1,0,1,0,0,1
3749,3.0,5.0,5.5,0.41,5507,0,1,1,0,1,0
3750,1.0,2.0,6.1,0.43,5280,0,1,1,0,0,1
3751,2.0,3.0,7.1,0.5,5442,0,1,1,0,0,1
3752,3.0,4.0,4.5,0.33,5349,0,1,0,1,0,1
3753,2.0,4.0,5.2,0.39,5613,0,1,0,1,0,1
3754,4.0,8.0,7.5,0.69,5581,1,0,0,1,1,0
3755,1.0,1.0,5.9,0.07,5391,0,1,0,1,0,1
3756,2.0,4.0,8.2,0.66,5579,1,0,1,0,1,0
3758,2.0,4.0,4.7,0.29,5260,1,0,1,0,1,0
3759,3.0,6.0,8.4,0.66,5288,0,1,0,1,1,0
3760,2.0,4.0,5.9,0.43,5504,0,1,1,0,0,1
3761,2.0,5.0,6.4,0.63,5307,0,1,0,1,0,1
3762,5.0,9.0,7.8,0.78,5325,1,0,1,0,0,1
3763,1.0,3.0,5.3,0.35,5343,1,0,0,1,0,1
3764,3.0,6.0,7.7,0.58,5413,1,0,0,1,0,1
3765,3.0,7.0,7.4,0.74,5359,1,0,1,0,0,1
3767,3.0,7.0,8.9,0.72,5265,1,0,0,1,0,1
3768,0.0,1.0,1.1,0.03,5537,1,0,0,1,0,1
3769,3.0,5.0,5.3,0.39,5430,0,1,1,0,1,0
3770,1.0,4.0,3.2,0.27,5583,0,1,0,1,1,0
3771,4.0,7.0,7.0,0.7,5586,1,0,0,1,0,1
3773,3.0,8.0,9.4,0.87,5483,1,0,1,0,0,1
3774,2.0,3.0,3.5,0.17,5433,0,1,0,1,0,1
3775,4.0,7.0,8.1,0.78,5256,0,1,0,1,1,0
3776,2.0,4.0,6.0,0.41,5431,1,0,0,1,0,1
3777,1.0,2.0,5.8,0.5,5378,1,0,0,1,1,0
3778,1.0,3.0,5.4,0.45,5589,0,1,1,0,0,1
3779,1.0,4.0,5.8,0.56,5423,1,0,0,1,0,1
3780,3.0,5.0,5.9,0.47,5380,1,0,1,0,1,0
3781,3.0,7.0,7.0,0.59,5338,0,1,0,1,1,0
3782,3.0,5.0,7.4,0.58,5590,1,0,0,1,0,1
3783,3.0,4.0,5.9,0.56,5583,1,0,0,1,0,1
3784,3.0,8.0,10.0,0.97,5586,0,1,1,0,0,1
3785,2.0,5.0,5.9,0.5,5461,0,1,1,0,0,1
3786,3.0,4.0,5.9,0.49,5583,1,0,1,0,1,0
3787,1.0,2.0,4.3,0.36,5531,1,0,1,0,0,1
3788,2.0,4.0,5.4,0.33,5582,1,0,0,1,0,1
3789,1.0,3.0,4.5,0.31,5360,0,1,1,0,0,1
3790,2.0,5.0,7.4,0.57,5552,1,0,0,1,0,1
3791,2.0,4.0,5.9,0.23,5520,0,1,1,0,1,0
3792,4.0,8.0,5.9,0.54,5431,1,0,0,1,0,1
3793,0.0,1.0,1.7,0.02,5447,0,1,0,1,0,1
3795,3.0,6.0,8.6,0.67,5379,1,0,0,1,0,1
3796,3.0,6.0,8.8,0.73,5406,1,0,0,1,1,0
3797,1.0,3.0,5.1,0.36,5249,1,0,1,0,1,0
3798,2.0,3.0,6.0,0.36,5257,0,1,1,0,0,1
3799,2.0,3.0,4.2,0.31,5287,1,0,1,0,0,1
3800,3.0,7.0,10.0,0.89,5422,1,0,1,0,0,1
3801,3.0,6.0,7.6,0.56,5360,0,1,0,1,0,1
3802,1.0,3.0,6.0,0.44,5405,0,1,0,1,1,0
3803,3.0,5.0,4.7,0.37,5306,1,0,0,1,1,0
3805,3.0,6.0,6.5,0.57,5499,0,1,0,1,0,1
3806,2.0,4.0,5.9,0.34,5471,1,0,1,0,0,1
3807,4.0,6.0,7.2,0.55,5388,0,1,0,1,0,1
3808,1.0,2.0,5.3,0.33,5552,0,1,0,1,0,1
3809,1.0,3.0,5.0,0.35,5400,0,1,0,1,1,0
3810,0.0,1.0,0.0,0.0,5345,0,1,0,1,1,0
3811,1.0,2.0,3.9,0.32,5304,0,1,1,0,0,1
3812,2.0,6.0,6.4,0.55,5282,1,0,0,1,1,0
3813,2.0,5.0,6.2,0.49,5316,0,1,1,0,0,1
3814,3.0,6.0,6.5,0.45,5330,0,1,1,0,0,1
3815,2.0,6.0,7.1,0.63,5613,1,0,0,1,0,1
3816,1.0,4.0,5.0,0.44,5493,0,1,0,1,0,1
3817,0.0,1.0,2.1,0.09,5486,0,1,0,1,0,1
3818,2.0,3.0,5.9,0.45,5473,1,0,1,0,1,0
3819,1.0,4.0,5.6,0.32,5325,0,1,1,0,0,1
3820,0.0,1.0,3.7,0.2,5541,0,1,1,0,1,0
3821,3.0,7.0,8.0,0.62,5540,0,1,1,0,0,1
3822,3.0,5.0,6.9,0.5,5429,0,1,1,0,0,1
3823,1.0,3.0,4.4,0.23,5285,0,1,1,0,0,1
3824,2.0,5.0,6.8,0.52,5261,1,0,1,0,0,1
3825,4.0,6.0,5.7,0.51,5576,1,0,1,0,1,0
3826,3.0,6.0,7.1,0.7,5614,0,1,0,1,0,1
3828,2.0,5.0,5.0,0.3,5445,1,0,1,0,0,1
3831,2.0,5.0,5.9,0.68,5446,0,1,0,1,1,0
3832,2.0,3.0,2.5,0.18,5316,0,1,1,0,1,0
3833,4.0,8.0,7.5,0.77,5390,1,0,0,1,1,0
3834,1.0,4.0,4.1,0.33,5513,0,1,0,1,1,0
3835,2.0,3.0,4.4,0.21,5425,0,1,1,0,1,0
3836,3.0,6.0,6.4,0.61,5578,1,0,0,1,0,1
3837,3.0,4.0,4.4,0.39,5577,0,1,0,1,0,1
3838,4.0,7.0,8.0,0.69,5433,1,0,0,1,0,1
3839,1.0,2.0,4.6,0.38,5415,0,1,1,0,0,1
3840,3.0,6.0,6.8,0.54,5422,1,0,0,1,0,1
3841,0.0,1.0,2.5,0.2,5381,1,0,0,1,0,1
3842,3.0,5.0,5.1,0.39,5465,1,0,0,1,0,1
3843,2.0,4.0,6.6,0.62,5526,1,0,0,1,1,0
3844,1.0,2.0,4.2,0.31,5513,0,1,0,1,0,1
3845,2.0,4.0,8.4,0.69,5562,1,0,1,0,0,1
3846,3.0,5.0,6.1,0.46,5410,0,1,1,0,0,1
3847,5.0,9.0,9.3,0.79,5424,0,1,0,1,0,1
3848,3.0,4.0,6.0,0.44,5507,0,1,1,0,0,1
3849,0.0,2.0,3.9,0.26,5351,0,1,1,0,0,1
3850,0.0,1.0,4.7,0.26,5279,0,1,1,0,1,0
3851,2.0,2.0,4.5,0.21,5316,0,1,1,0,0,1
3852,1.0,4.0,5.0,0.4,5537,1,0,0,1,1,0
3853,1.0,2.0,3.8,0.17,5335,0,1,1,0,0,1
3854,2.0,4.0,5.9,0.27,5313,0,1,0,1,0,1
3855,2.0,5.0,5.1,0.47,5584,0,1,0,1,0,1
3856,3.0,6.0,5.2,0.47,5532,0,1,1,0,0,1
3857,3.0,6.0,7.6,0.62,5586,1,0,1,0,0,1
3859,4.0,8.0,7.1,0.56,5278,0,1,0,1,0,1
3860,4.0,9.0,7.3,0.74,5595,1,0,1,0,0,1
3861,3.0,4.0,5.7,0.45,5329,0,1,1,0,0,1
